state,salary,ocode,occupation,projemp,projempnorm,salarynorm
NSW,16400,1111,Chief Executives and Managing Directors,9.222124368326597,0.5805096749942602,0.2862287709548271
NSW,20024,1112,General Managers,-2.4452665939912936,0.4179892289293872,0.3524798449754118
NSW,16316,1113,Legislators,3.2160178398309327,0.4968478593169751,0.28469315003382023
NSW,1164,1210,Farmers and Farm Managers nfd,-15.994165623097146,0.22926039306454743,0.007696385806475202
NSW,4160,1211,Aquaculture Farmers,-2.0662225469423574,0.4232691075075188,0.06246686532238899
NSW,7109,1212,Crop Farmers,0.5647637500207517,0.45991732371575206,0.11637812837059651
NSW,9000,1213,Livestock Farmers,-2.65827315304435,0.41502216276147946,0.15094788029469297
NSW,9440,1214,Mixed Crop and Livestock Farmers,-3.357210034219155,0.4052863500106608,0.15899160892853878
NSW,22508,1311,"Advertising, Public Relations and Sales Managers",9.79191425495069,0.5884465399571709,0.39789034935375955
NSW,27563.5,1321,Corporate Services Managers,5.689102151079967,0.5312965862618707,0.4903109632365039
NSW,28168.5,1322,Finance Managers,8.303484006653058,0.5677135115816716,0.5013710901080419
NSW,29215,1323,Human Resource Managers,12.792597329452255,0.6302444323345106,0.5205023674155865
NSW,28990,1324,Policy and Planning Managers,2.4579508534643373,0.48628839617999314,0.5163890970914609
NSW,24746,1325,Research and Development Managers,18.206871736226347,0.7056623466350134,0.43880367817772986
NSW,22961.5,1331,Construction Managers,13.261394497710663,0.6367745233501775,0.4061808742070529
NSW,36913,1332,Engineering Managers,15.156892761529791,0.6631777890285119,0.6612310561050072
NSW,12276,1333,"Importers, Exporters and Wholesalers",5.590187189691363,0.5299187543456108,0.21083709621396318
NSW,15680,1334,Manufacturers,7.365502659134133,0.5546479386963844,0.27306630591762493
NSW,26081,1335,Production Managers,5.590187189691355,0.5299187543456106,0.4632090821008757
NSW,22977,1336,"Supply, Distribution and Procurement Managers",8.866301525622713,0.5755532552340007,0.40646423282938154
NSW,13558,1341,Child Care Centre Managers,20.85231502725152,0.7425119409517982,0.2342735964607594
NSW,12583,1342,Health and Welfare Services Managers,21.805335092768,0.7557869950454466,0.2164494250562147
NSW,38003.5,1343,School Principals,7.369830902054293,0.5547082287794314,0.6811667062759365
NSW,10172.5,1344,Other Education Managers,16.42965969593977,0.6809067440781023,0.172382588983748
NSW,34768,1351,ICT Managers,13.936566222744599,0.6461793003287923,0.6220178790150088
NSW,24924.5,1391,Commissioned Officers (Management),6.732277694428772,0.5458274574032055,0.44206687263486955
NSW,24538,1392,Senior Non-commissioned Defence Force Members,0,0.45205047011745547,0.43500118827809364
NSW,17940,1399,Other Specialist Managers,9.910755486921778,0.5901019340459795,0.3143818211732875
NSW,7282,1411,Cafe and Restaurant Managers,13.924622101467618,0.6460129251791074,0.11954077621981317
