state,salary,ocode,occupation,projemp,projempnorm,salarynorm
TAS,15195.5,1111,Chief Executives and Managing Directors,9.222124368326597,0.5805096749942602,0.1570454810063612
TAS,16172,1112,General Managers,-2.4452665939912936,0.4179892289293872,0.16738111114639231
TAS,28762,1113,Legislators,3.2160178398309327,0.4968478593169751,0.3006382370685549
TAS,12898,1211,Aquaculture Farmers,-2.0662225469423574,0.4232691075075188,0.13272790778903248
TAS,7235,1212,Crop Farmers,0.5647637500207517,0.45991732371575206,0.07278866203071582
TAS,9035,1213,Livestock Farmers,-2.65827315304435,0.41502216276147946,0.09184051482339992
TAS,7625.5,1214,Mixed Crop and Livestock Farmers,-3.357210034219155,0.4052863500106608,0.076921855650462
TAS,15243,1311,"Advertising, Public Relations and Sales Managers",9.79191425495069,0.5884465399571709,0.15754823823283481
TAS,19454,1321,Corporate Services Managers,5.689102151079967,0.5312965862618707,0.20211898940505296
TAS,15230,1322,Finance Managers,8.303484006653058,0.5677135115816716,0.15741064151822098
TAS,21286.5,1323,Human Resource Managers,12.792597329452255,0.6302444323345106,0.22151483398427163
TAS,22202,1324,Policy and Planning Managers,2.4579508534643373,0.48628839617999314,0.23120481800188403
TAS,19066,1325,Research and Development Managers,18.206871736226347,0.7056623466350134,0.1980122566919633
TAS,16083.5,1331,Construction Managers,13.261394497710663,0.6367745233501775,0.166444395050752
TAS,28905,1332,Engineering Managers,15.156892761529791,0.6631777890285119,0.30215180092930705
TAS,13806,1333,"Importers, Exporters and Wholesalers",5.590187189691363,0.5299187543456108,0.14233850908667534
TAS,15480,1334,Manufacturers,7.365502659134133,0.5546479386963844,0.16005673218387154
TAS,21827,1335,Production Managers,5.590187189691355,0.5299187543456106,0.22723568200340816
TAS,17077,1336,"Supply, Distribution and Procurement Managers",8.866301525622713,0.5755532552340007,0.17695995935604739
TAS,12099.5,1341,Child Care Centre Managers,20.85231502725152,0.7425119409517982,0.12427629420294457
TAS,11926,1342,Health and Welfare Services Managers,21.805335092768,0.7557869950454466,0.12243990728098307
TAS,32688,1343,School Principals,7.369830902054293,0.5547082287794314,0.34219244488193146
TAS,12059,1344,Other Education Managers,16.42965969593977,0.6809067440781023,0.12384762751510918
