state,salary,ocode,occupation,projemp,projempnorm,salarynorm
VIC,16692,1111,Chief Executives and Managing Directors,9.222124368326597,0.5805096749942602,0.2550335570469799
VIC,19188,1112,General Managers,-2.4452665939912936,0.4179892289293872,0.29482376572239316
VIC,15281,1113,Legislators,3.2160178398309327,0.4968478593169751,0.23253997353696057
VIC,5374,1210,Farmers and Farm Managers nfd,-15.994165623097146,0.22926039306454743,0.07460664126639992
VIC,4596,1211,Aquaculture Farmers,-2.0662225469423574,0.4232691075075188,0.06220408423536163
VIC,7110,1212,Crop Farmers,0.5647637500207517,0.45991732371575206,0.1022812415310303
VIC,8551,1213,Livestock Farmers,-2.65827315304435,0.41502216276147946,0.12525307274147524
VIC,9152.5,1214,Mixed Crop and Livestock Farmers,-3.357210034219155,0.4052863500106608,0.13484193913500933
VIC,20890,1311,"Advertising, Public Relations and Sales Managers",9.79191425495069,0.5884465399571709,0.32195635192654115
VIC,25327,1321,Corporate Services Managers,5.689102151079967,0.5312965862618707,0.3926891868194934
VIC,23021.5,1322,Finance Managers,8.303484006653058,0.5677135115816716,0.3559358510417829
VIC,26738,1323,Human Resource Managers,12.792597329452255,0.6302444323345106,0.4151827703295127
VIC,27162,1324,Policy and Planning Managers,2.4579508534643373,0.48628839617999314,0.4219420044955284
VIC,21865,1325,Research and Development Managers,18.206871736226347,0.7056623466350134,0.33749940219037444
VIC,22492.5,1331,Construction Managers,13.261394497710663,0.6367745233501775,0.34750274992427743
VIC,34199,1332,Engineering Managers,15.156892761529791,0.6631777890285119,0.5341229734253694
VIC,12900,1333,"Importers, Exporters and Wholesalers",5.590187189691363,0.5299187543456108,0.1945830477131789
VIC,15112.5,1334,Manufacturers,7.365502659134133,0.5546479386963844,0.22985381561956988
VIC,23542,1335,Production Managers,5.590187189691355,0.5299187543456106,0.3642334486441678
VIC,21770.5,1336,"Supply, Distribution and Procurement Managers",8.866301525622713,0.5755532552340007,0.3359929219340337
VIC,11947,1341,Child Care Centre Managers,20.85231502725152,0.7425119409517982,0.17939071242965773
VIC,10433,1342,Health and Welfare Services Managers,21.805335092768,0.7557869950454466,0.1552551451481771
VIC,32828,1343,School Principals,7.369830902054293,0.5547082287794314,0.5122670535159177
VIC,11180,1344,Other Education Managers,16.42965969593977,0.6809067440781023,0.16716351288877554
VIC,33566,1351,ICT Managers,13.936566222744599,0.6461793003287923,0.5240319469463884
VIC,23492,1391,Commissioned Officers (Management),6.732277694428772,0.5458274574032055,0.3634363691434584
VIC,23342,1392,Senior Non-commissioned Defence Force Members,0,0.45205047011745547,0.36104513064133015
VIC,15804,1399,Other Specialist Managers,9.910755486921778,0.5901019340459795,0.2408774251143809
VIC,6780,1411,Cafe and Restaurant Managers,13.924622101467618,0.6460129251791074,0.09702051682634825
VIC,7031,1412,Caravan Park and Camping Ground Managers,-0.22158553568144532,0.44896390344485654,0.10102185591990945
VIC,10733.5,1413,Hotel and Motel Managers,1.7347037590860377,0.47621395530686983,0.16004559294744058
VIC,12788,1414,Licensed Club Managers,0,0.45205047011745547,0.19279758963158986
VIC,10676.5,1419,Other Accommodation and Hospitality Managers,2.5257662968830323,0.4872330286303918,0.15913692231663187
VIC,9175,1421,Retail Managers,1.8427266056058953,0.47771865513721795,0.13520062491032855
VIC,9828,1491,"Amusement, Fitness and Sports Centre Managers",16.22797293858696,0.6780973566258244,0.14561048318959333
VIC,9741.5,1492,Call or Contact Centre and Customer Service Managers,-1.3514986678962555,0.43322482460064965,0.14423153565336608
VIC,10011.5,1493,Conference and Event Organisers,12.581703747763942,0.6273067987985383,0.14853576495719684
VIC,17423,1494,Transport Services Managers,4.572577555078802,0.5157440024862379,0.2666868593473513
VIC,24892,1499,"Other Hospitality, Retail and Service Managers",7.3425576405068265,0.5543283269961918,0.3857545951633216
