ocode,occupation,projemp
1111,Chief Executives and Managing Directors,9.222124368326597
1112,General Managers,-2.4452665939912936
1113,Legislators,3.2160178398309327
1110,"Chief Executives, General Managers and Legislators nfd",0
1211,Aquaculture Farmers,-2.0662225469423574
1212,Crop Farmers,0.5647637500207517
1213,Livestock Farmers,-2.65827315304435
1214,Mixed Crop and Livestock Farmers,-3.357210034219155
1210,Farmers and Farm Managers nfd,-15.994165623097146
1311,"Advertising, Public Relations and Sales Managers",9.79191425495069
1321,Corporate Services Managers,5.689102151079967
1322,Finance Managers,8.303484006653058
1323,Human Resource Managers,12.792597329452255
1324,Policy and Planning Managers,2.4579508534643373
1325,Research and Development Managers,18.206871736226347
1320,Business Administration Managers nfd,0
1331,Construction Managers,13.261394497710663
1332,Engineering Managers,15.156892761529791
1333,"Importers, Exporters and Wholesalers",5.590187189691363
1334,Manufacturers,7.365502659134133
1335,Production Managers,5.590187189691355
1336,"Supply, Distribution and Procurement Managers",8.866301525622713
1330,"Construction, Distribution and Production Managers nfd",0
1341,Child Care Centre Managers,20.85231502725152
1342,Health and Welfare Services Managers,21.805335092768
1343,School Principals,7.369830902054293
1344,Other Education Managers,16.42965969593977
1340,"Education, Health and Welfare Services Managers nfd",0
1351,ICT Managers,13.936566222744599
1391,Commissioned Officers (Management),6.732277694428772
1392,Senior Non-commissioned Defence Force Members,0
1399,Other Specialist Managers,9.910755486921778
1390,Miscellaneous Specialist Managers nfd,0
1300,Specialist Managers nfd,0
1411,Cafe and Restaurant Managers,13.924622101467618
1412,Caravan Park and Camping Ground Managers,-0.22158553568144532
1413,Hotel and Motel Managers,1.7347037590860377
1414,Licensed Club Managers,0
1419,Other Accommodation and Hospitality Managers,2.5257662968830323
1410,Accommodation and Hospitality Managers nfd,5.156459695446053
1421,Retail Managers,1.8427266056058953
1491,"Amusement, Fitness and Sports Centre Managers",16.22797293858696
1492,Call or Contact Centre and Customer Service Managers,-1.3514986678962555
1493,Conference and Event Organisers,12.581703747763942
1494,Transport Services Managers,4.572577555078802
1499,"Other Hospitality, Retail and Service Managers",7.3425576405068265
1490,"Miscellaneous Hospitality, Retail and Service Managers nfd",0
1400,"Hospitality, Retail and Service Managers nfd",0
1000,Managers nfd,0
2111,"Actors, Dancers and Other Entertainers",8.159079077977132
2112,Music Professionals,-0.8677643110179024
2113,Photographers,5.190139253456031
2114,Visual Arts and Crafts Professionals,4.092712635997531
2110,Arts Professionals nfd,3.281611076717011
2121,"Artistic Directors, and Media Producers and Presenters",-12.196509707294664
2122,"Authors, and Book and Script Editors",14.767564649607955
2123,"Film, Television, Radio and Stage Directors",11.847967822954898
2124,Journalists and Other Writers,1.5769465894702623
2120,Media Professionals nfd,4.746127221964217
2100,Arts and Media Professionals nfd,6.762964084556225
2211,Accountants,4.018089884403248
2212,"Auditors, Company Secretaries and Corporate Treasurers",10.073698243893048
2210,"Accountants, Auditors and Company Secretaries nfd",-7.654124235913913
2221,Financial Brokers,19.69643209589858
2222,Financial Dealers,1.640098800270539
2223,Financial Investment Advisers and Managers,-1.0344497612096504
2220,"Financial Brokers and Dealers, and Investment Advisers nfd",0
2231,Human Resource Professionals,10.826243446735237
2232,ICT Trainers,-9.43184301160828
2233,Training and Development Professionals,-5.859103415553496
2230,Human Resource and Training Professionals nfd,-5.033506342537907
2241,"Actuaries, Mathematicians and Statisticians",7.821899538476034
2242,"Archivists, Curators and Records Managers",-4.04368752249386
2243,Economists,5.7924027091688846
2244,Intelligence and Policy Analysts,36.315944458532236
2245,Land Economists and Valuers,5.792402709168869
2246,Librarians,6.386459142421852
2247,Management and Organisation Analysts,10.343099523605053
2249,Other Information and Organisation Professionals,25.489574013061418
2240,Information and Organisation Professionals nfd,15.96691662562334
2251,Advertising and Marketing Professionals,12.46706580479654
2252,ICT Sales Professionals,-1.1278006902532938
2253,Public Relations Professionals,0.6736631188675851
2254,Technical Sales Representatives,-1.7028640718887944
2250,"Sales, Marketing and Public Relations Professionals nfd",3.558630186320244
2200,"Business, Human Resource and Marketing Professionals nfd",4.179495835200945
2311,Air Transport Professionals,5.623030587346921
2312,Marine Transport Professionals,3.409027878727939
2310,Air and Marine Transport Professionals nfd,0
2321,Architects and Landscape Architects,7.425365540295815
2322,Surveyors and Spatial Scientists,-3.2229377157557817
2323,"Fashion, Industrial and Jewellery Designers",-0.009146844112238338
2324,"Graphic and Web Designers, and Illustrators",12.569159235804198
2325,Interior Designers,14.945513588613466
